127,NaN,NaN,1011
125,NaN,NaN,1011
128,NaN,NaN,1012
126,NaN,NaN,1010
128,NaN,NaN,1010
124,NaN,NaN,1010
128,NaN,NaN,1011
125,NaN,NaN,1011
127,NaN,NaN,1010
126,NaN,NaN,1011
126,NaN,NaN,1009
126,NaN,NaN,1011
128,NaN,NaN,1011
125,NaN,NaN,1009
128,NaN,NaN,1009
124,NaN,NaN,1004
128,NaN,NaN,1004
124,NaN,NaN,1004
128,NaN,NaN,1004
126,NaN,NaN,1004
126,NaN,NaN,1002
125,NaN,NaN,1004
123,NaN,NaN,1004
124,NaN,NaN,1008
128,NaN,NaN,1009
124,NaN,NaN,1007
128,NaN,NaN,1007
124,NaN,NaN,1006
128,NaN,NaN,1007
125,NaN,NaN,1007
127,NaN,NaN,1006
125,NaN,NaN,1007
126,NaN,NaN,1006
124,NaN,NaN,1008
127,NaN,NaN,1009
125,NaN,NaN,1009
128,NaN,NaN,1009
124,NaN,NaN,1006
128,NaN,NaN,1006
124,NaN,NaN,1006
128,NaN,NaN,1006
125,NaN,NaN,1006
127,NaN,NaN,1005
125,NaN,NaN,NaN
125,NaN,NaN,NaN
124,NaN,NaN,NaN
128,NaN,NaN,NaN
124,NaN,NaN,NaN
128,NaN,NaN,NaN
124,NaN,NaN,NaN
127,NaN,NaN,NaN
